locality,region,Month,Room_nights_occupied,Room_nights_available,Takings_from_accommodation,Average_takings_per_room_night_occupied
Shepparton - North,Goulburn,September,3077.00,5310.00,391594.00,127.27
Shepparton - South,Goulburn,September,7739.00,12060.00,1089738.00,140.80
Mansfield (Vic.),High Country,September,7311.00,15930.00,1584617.00,216.73
Benalla,High Country,September,1850.00,3000.00,190305.00,102.87
Rutherglen,High Country,September,733.00,1410.00,96176.00,131.21
Wangaratta,High Country,September,4198.00,7740.00,564738.00,134.52
Wangaratta Region,High Country,September,,,,
Beechworth,High Country,September,840.00,1890.00,111233.00,132.42
Towong,High Country,September,,,,
Bright - Mount Beauty,High Country,September,7988.00,30150.00,1836059.00,229.87
Myrtleford,High Country,September,,,,
Yackandandah,High Country,September,,,,
Bairnsdale,Lakes,September,2819.00,6420.00,358149.00,127.05
Bruthen - Omeo,Lakes,September,,,,
Lakes Entrance,Lakes,September,6644.00,13320.00,671468.00,101.06
Orbost,Lakes,September,581.00,1920.00,61035.00,105.05
Paynesville,Lakes,September,,,,
Drouin,Gippsland,September,,,,
Mount Baw Baw Region,Gippsland,September,,,,
Warragul,Gippsland,September,1369.00,3150.00,175414.00,128.13
Foster,Gippsland,September,,,,
Korumburra,Gippsland,September,,,,
Leongatha,Gippsland,September,,,,
Moe - Newborough,Gippsland,September,,,,
Morwell,Gippsland,September,1782.00,4650.00,233990.00,131.33
Traralgon,Gippsland,September,5174.00,8520.00,690963.00,133.55
Maffra,Gippsland,September,,,,
Sale,Gippsland,September,4293.00,9360.00,570287.00,132.85
Yarram,Gippsland,September,,,,
Eltham,Melbourne East,September,,,,
Chirnside Park,Melbourne East,September,,,,
Healesville - Yarra Glen,Melbourne East,September,,,,
Kilsyth,Melbourne East,September,,,,
Lilydale - Coldstream,Melbourne East,September,1041.00,3090.00,194806.00,187.15
Mount Dandenong - Olinda,Melbourne East,September,,,,
Mount Evelyn,Melbourne East,September,,,,
Yarra Valley,Melbourne East,September,303.00,2100.00,35500.00,117.16
Beaconsfield - Officer,Melbourne East,September,,,,
Belmont,Geelong,September,,,,
Corio - Norlane,Geelong,September,,,,
Geelong,Geelong,September,12533.00,19200.00,1796182.00,143.31
Geelong West - Hamlyn Heights,Geelong,September,,,,
Newtown (Vic.),Geelong,September,752.00,2100.00,110070.00,146.37
North Geelong - Bell Park,Geelong,September,,,,
Ocean Grove - Barwon Heads,Geelong,September,,,,
Portarlington,Geelong,September,,,,
Queenscliff,Geelong,September,,,,
Woodend,Macedon,September,,,,
Macedon,Macedon,September,,,,
Romsey,Macedon,September,,,,
Creswick - Clunes,Spa Country ,September,,,,
Daylesford,Spa Country ,September,,,,
Alfredton,Ballarat,September,2210.00,4860.00,223073.00,100.95
Ballarat,Ballarat,September,5950.00,11550.00,879862.00,147.88
Ballarat - North,Ballarat,September,,,,
Ballarat - South,Ballarat,September,4404.00,7920.00,711490.00,161.55
Delacombe,Ballarat,September,,,,
Avoca,Central Highlands,September,,,,
Ararat,Central Highlands,September,1114.00,1800.00,119465.00,107.24
St Arnaud,Central Highlands,September,,,,
Stawell,Central Highlands,September,,,,
Alexandra,Upper Yarra,September,,,,
Yea,Upper Yarra,September,,,,
Wodonga,Murray East,September,4029.00,7440.00,519684.00,128.98
Phillip Island,Phillip Island,September,,,,
Wonthaggi - Inverloch,Phillip Island,September,,,,
Brunswick,Melbourne,October,3530.00,4960.00,502753.00,142.44
Thornbury,Melbourne,October,,,,
Essendon - Aberfeldie,Melbourne,October,4120.00,5301.00,627443.00,152.29
Flemington,Melbourne,October,,,,
Moonee Ponds,Melbourne,October,,,,
Carlton,Melbourne,October,15009.00,21638.00,2510294.00,167.26
Docklands,Melbourne,October,35760.00,36797.00,7758839.00,216.97
East Melbourne,Melbourne,October,37761.00,46438.00,7869320.00,208.40
Melbourne,Melbourne,October,359419.00,399245.00,75181580.00,209.18
North Melbourne,Melbourne,October,4227.00,7285.00,639104.00,151.18
Parkville,Melbourne,October,6660.00,8277.00,970005.00,145.65
South Yarra - West,Melbourne,October,,,,
Southbank,Melbourne,October,94238.00,101556.00,28631425.00,303.82
Albert Park,Melbourne,October,39635.00,46440.00,5960103.00,150.38
South Melbourne,Melbourne,October,3912.00,4898.00,733268.00,187.44
St Kilda,Melbourne,October,20058.00,25544.00,2923413.00,145.75
Prahran - Windsor,Melbourne,October,,,,
South Yarra - East,Melbourne,October,20133.00,23467.00,4191678.00,208.20
Toorak,Melbourne,October,,,,
Abbotsford,Melbourne,October,,,,
Carlton North - Princes Hill,Melbourne,October,,,,
Fitzroy,Melbourne,October,3401.00,4371.00,716005.00,210.53
Richmond (Vic.),Melbourne,October,6320.00,7626.00,1007249.00,159.37
Yarra - North,Melbourne,October,,,,
Hawthorn,Melbourne,October,,,,
Hawthorn East,Melbourne,October,,,,
Kew,Melbourne,October,6034.00,7657.00,956832.00,158.57
Doncaster,Melbourne,October,,,,
Doncaster East,Melbourne,October,,,,
Blackburn,Melbourne,October,,,,
Box Hill,Melbourne,October,,,,
Burwood,Melbourne,October,,,,
Burwood East,Melbourne,October,,,,
Surrey Hills (East) - Mont Albert,Melbourne,October,,,,
Beaumaris,Melbourne,October,,,,
Brighton (Vic.),Melbourne,October,3644.00,4867.00,604707.00,165.94
Carnegie,Melbourne,October,,,,
Caulfield - North,Melbourne,October,,,,
Hughesdale,Melbourne,October,1816.00,2635.00,286611.00,157.83
Braeside,Melbourne,October,,,,
Cheltenham - Highett (East),Melbourne,October,,,,
Mentone,Melbourne,October,,,,
Moorabbin - Heatherton,Melbourne,October,,,,
Ivanhoe,Melbourne,October,,,,
Viewbank - Yallambie,Melbourne,October,,,,
Kingsbury,Melbourne,October,,,,
Preston,Melbourne,October,,,,
Reservoir - West,Melbourne,October,,,,
Bundoora - North,Melbourne,October,,,,
Mill Park - North,Melbourne,October,,,,
Thomastown,Melbourne,October,,,,
Airport West,Melbourne,October,,,,
Keilor,Melbourne,October,,,,
Coburg North,Melbourne,October,,,,
Fawkner,Melbourne,October,,,,
Sunbury - South,Melbourne,October,,,,
Broadmeadows,Melbourne,October,,,,
Campbellfield - Coolaroo,Melbourne,October,,,,
Gladstone Park - Westmeadows,Melbourne,October,13295.00,13857.00,2489335.00,187.23
Melbourne Airport,Melbourne,October,,,,
Tullamarine,Melbourne,October,,,,
Ferntree Gully,Melbourne,October,,,,
Rowville - South,Melbourne,October,,,,
Wantirna,Melbourne,October,,,,
Wantirna South,Melbourne,October,,,,
Croydon,Melbourne,October,1352.00,2511.00,178023.00,131.70
Ringwood,Melbourne,October,1771.00,2387.00,314801.00,177.75
Forest Hill,Melbourne,October,,,,
Nunawading,Melbourne,October,,,,
Doveton,Melbourne,October,,,,
Hallam,Melbourne,October,,,,
Narre Warren,Melbourne,October,,,,
Cranbourne,Melbourne,October,952.00,2914.00,113294.00,119.03
Dandenong,Melbourne,October,8061.00,10695.00,962192.00,119.36
Keysborough,Melbourne,October,,,,
Noble Park,Melbourne,October,,,,
Springvale,Melbourne,October,,,,
Ashwood - Chadstone,Melbourne,October,,,,
Clayton,Melbourne,October,1798.00,2356.00,254585.00,141.59
Glen Waverley - East,Melbourne,October,,,,
Glen Waverley - West,Melbourne,October,13688.00,16802.00,2627805.00,191.98
Mount Waverley - South,Melbourne,October,,,,
Mulgrave,Melbourne,October,,,,
Oakleigh - Huntingdale,Melbourne,October,,,,
Ardeer - Albion,Melbourne,October,,,,
Taylors Lakes,Melbourne,October,,,,
Williamstown,Melbourne,October,4206.00,4433.00,698943.00,166.18
Footscray,Melbourne,October,,,,
Caroline Springs,Melbourne,October,,,,
Melton,Melbourne,October,,,,
Melton South,Melbourne,October,,,,
Hoppers Crossing - North,Melbourne,October,,,,
Laverton,Melbourne,October,,,,
Point Cook,Melbourne,October,,,,
Werribee - South,Melbourne,October,4372.00,5921.00,773401.00,176.90
Nhill Region,Wimmera,October,,,,
Buloke,Wimmera,October,,,,
Mildura,Mallee,October,17334.00,27807.00,1878620.00,108.38
Mildura Region,Mallee,October,,,,
Red Cliffs,Mallee,October,,,,
Gannawarra,Mallee,October,,,,
Kerang,Mallee,October,,,,
Swan Hill,Mallee,October,6308.00,10168.00,678624.00,107.58
Swan Hill Region,Mallee,October,,,,
Lorne - Anglesea,Western,October,5567.00,10757.00,993483.00,178.47
Torquay,Western,October,3848.00,7626.00,513010.00,133.32
Portland,Western,October,2525.00,5456.00,309183.00,122.45
Camperdown,Western,October,,,,
Colac,Western,October,2067.00,3441.00,196391.00,95.01
Corangamite - South,Western,October,2845.00,3596.00,491500.00,172.73
Moyne - West,Western,October,2491.00,3844.00,345527.00,138.71
Otway,Western,October,,,,
Warrnambool - North,Western,October,1972.00,5146.00,189513.00,96.10
Warrnambool - South,Western,October,11240.00,16926.00,1413888.00,125.79
Horsham,Western Grampians,October,,,,
Hamilton (Vic.),Western Grampians,October,1447.00,3906.00,178306.00,123.22
Southern Grampians,Western Grampians,October,,,,
Maryborough (Vic.),Bendigo Loddon,October,1286.00,1891.00,152988.00,118.96
Bendigo,Bendigo Loddon,October,10398.00,14508.00,1347856.00,129.62
California Gully - Eaglehawk,Bendigo Loddon,October,,,,
East Bendigo - Kennington,Bendigo Loddon,October,3210.00,4774.00,441562.00,137.56
Kangaroo Flat - Golden Square,Bendigo Loddon,October,,,,
White Hills - Ascot,Bendigo Loddon,October,,,,
Castlemaine,Bendigo Loddon,October,978.00,1705.00,107580.00,110.00
Loddon,Bendigo Loddon,October,,,,
Carrum Downs,Peninsula,October,,,,
Frankston,Peninsula,October,4739.00,7843.00,638519.00,134.75
Seaford,Peninsula,October,,,,
Flinders,Peninsula,October,,,,
Hastings - Somers,Peninsula,October,,,,
Mornington,Peninsula,October,,,,
Mount Eliza,Peninsula,October,,,,
Point Nepean,Peninsula,October,4790.00,8587.00,773128.00,161.40
Rosebud - McCrae,Peninsula,October,,,,
Somerville,Peninsula,October,,,,
Echuca,Central Murray,October,9377.00,13423.00,1886105.00,201.14
Rochester,Central Murray,October,,,,
Cobram,Central Murray,October,,,,
Yarrawonga,Central Murray,October,,,,
Euroa,Goulburn,October,,,,
Kilmore - Broadford,Goulburn,October,,,,
Nagambie,Goulburn,October,916.00,2356.00,143143.00,156.27
Seymour,Goulburn,October,1308.00,1488.00,167344.00,127.93
Seymour Region,Goulburn,October,,,,
Wallan,Goulburn,October,,,,
Mooroopna,Goulburn,October,,,,
Shepparton - North,Goulburn,October,3289.00,5673.00,405991.00,123.44
Shepparton - South,Goulburn,October,7484.00,12462.00,962909.00,128.66
Mansfield (Vic.),High Country,October,3481.00,12245.00,383301.00,110.12
Benalla,High Country,October,2085.00,3131.00,231121.00,110.85
Rutherglen,High Country,October,830.00,1457.00,108328.00,130.52
Wangaratta,High Country,October,5034.00,7998.00,694242.00,137.92
Wangaratta Region,High Country,October,,,,
Beechworth,High Country,October,1423.00,1953.00,173408.00,121.86
Towong,High Country,October,1180.00,1953.00,124545.00,105.53
Bright - Mount Beauty,High Country,October,4077.00,18414.00,518470.00,127.18
Myrtleford,High Country,October,,,,
Yackandandah,High Country,October,,,,
Bairnsdale,Lakes,October,3189.00,6634.00,418060.00,131.09
Bruthen - Omeo,Lakes,October,,,,
Lakes Entrance,Lakes,October,8202.00,13764.00,853112.00,104.01
Orbost,Lakes,October,839.00,1984.00,97449.00,116.15
Paynesville,Lakes,October,,,,
Drouin,Gippsland,October,,,,
Mount Baw Baw Region,Gippsland,October,,,,
Warragul,Gippsland,October,1872.00,3255.00,249056.00,133.04
Foster,Gippsland,October,,,,
Korumburra,Gippsland,October,,,,
Leongatha,Gippsland,October,,,,
Moe - Newborough,Gippsland,October,,,,
Morwell,Gippsland,October,2244.00,4836.00,260411.00,116.07
Traralgon,Gippsland,October,5310.00,8804.00,785146.00,147.86
Maffra,Gippsland,October,,,,
Sale,Gippsland,October,4617.00,9672.00,610534.00,132.23
Yarram,Gippsland,October,,,,
Eltham,Melbourne East,October,,,,
Chirnside Park,Melbourne East,October,,,,
Healesville - Yarra Glen,Melbourne East,October,,,,
Kilsyth,Melbourne East,October,,,,
Lilydale - Coldstream,Melbourne East,October,1232.00,3193.00,233889.00,189.82
Mount Dandenong - Olinda,Melbourne East,October,,,,
Mount Evelyn,Melbourne East,October,,,,
Yarra Valley,Melbourne East,October,,,,
Beaconsfield - Officer,Melbourne East,October,,,,
Belmont,Geelong,October,,,,
Corio - Norlane,Geelong,October,,,,
Geelong,Geelong,October,13502.00,19840.00,1954169.00,144.73
Geelong West - Hamlyn Heights,Geelong,October,,,,
Newtown (Vic.),Geelong,October,766.00,2170.00,125407.00,163.72
North Geelong - Bell Park,Geelong,October,,,,
Ocean Grove - Barwon Heads,Geelong,October,,,,
Portarlington,Geelong,October,,,,
Queenscliff,Geelong,October,,,,
Woodend,Macedon,October,,,,
Macedon,Macedon,October,,,,
Romsey,Macedon,October,,,,
Creswick - Clunes,Spa Country ,October,,,,
Daylesford,Spa Country ,October,,,,
Alfredton,Ballarat,October,3115.00,5022.00,330696.00,106.18
Ballarat,Ballarat,October,7420.00,11935.00,1194866.00,161.04
Ballarat - North,Ballarat,October,,,,
Ballarat - South,Ballarat,October,5764.00,8184.00,868440.00,150.67
Delacombe,Ballarat,October,,,,
Avoca,Central Highlands,October,,,,
Ararat,Central Highlands,October,1248.00,1860.00,131501.00,105.37
St Arnaud,Central Highlands,October,,,,
Stawell,Central Highlands,October,,,,
Alexandra,Upper Yarra,October,,,,
Yea,Upper Yarra,October,,,,
Wodonga,Murray East,October,3910.00,7688.00,519161.00,132.79
Phillip Island,Phillip Island,October,,,,
Wonthaggi - Inverloch,Phillip Island,October,,,,
Brunswick,Melbourne,November,3463.00,4800.00,469997.00,135.73
Thornbury,Melbourne,November,,,,
Essendon - Aberfeldie,Melbourne,November,3926.00,5130.00,537229.00,136.84
Flemington,Melbourne,November,,,,
Moonee Ponds,Melbourne,November,,,,
Carlton,Melbourne,November,14500.00,20940.00,2447898.00,168.82
Docklands,Melbourne,November,35054.00,35610.00,7493759.00,213.78
East Melbourne,Melbourne,November,38559.00,44940.00,7731581.00,200.51
Melbourne,Melbourne,November,355466.00,386694.00,71975409.00,202.48
North Melbourne,Melbourne,November,4461.00,7050.00,643926.00,144.34
Parkville,Melbourne,November,6495.00,8010.00,942903.00,145.18
South Yarra - West,Melbourne,November,,,,
Southbank,Melbourne,November,93753.00,98280.00,28355296.00,302.45
Albert Park,Melbourne,November,40227.00,46570.00,6081149.00,151.17
South Melbourne,Melbourne,November,3923.00,4740.00,717274.00,182.84
St Kilda,Melbourne,November,21418.00,24720.00,3013761.00,140.71
Prahran - Windsor,Melbourne,November,,,,
South Yarra - East,Melbourne,November,21106.00,25650.00,4348384.00,206.02
Toorak,Melbourne,November,,,,
Abbotsford,Melbourne,November,,,,
Carlton North - Princes Hill,Melbourne,November,,,,
Fitzroy,Melbourne,November,3340.00,4230.00,673917.00,201.77
Richmond (Vic.),Melbourne,November,6213.00,7380.00,976448.00,157.16
Yarra - North,Melbourne,November,,,,
Hawthorn,Melbourne,November,,,,
Hawthorn East,Melbourne,November,,,,
Kew,Melbourne,November,6006.00,7410.00,937765.00,156.14
Doncaster,Melbourne,November,,,,
Doncaster East,Melbourne,November,,,,
Blackburn,Melbourne,November,,,,
Box Hill,Melbourne,November,,,,
Burwood,Melbourne,November,,,,
Burwood East,Melbourne,November,,,,
Surrey Hills (East) - Mont Albert,Melbourne,November,,,,
Beaumaris,Melbourne,November,,,,
Brighton (Vic.),Melbourne,November,4005.00,4710.00,664149.00,165.84
Carnegie,Melbourne,November,,,,
Caulfield - North,Melbourne,November,,,,
Hughesdale,Melbourne,November,1782.00,2550.00,253050.00,142.00
Braeside,Melbourne,November,,,,
Cheltenham - Highett (East),Melbourne,November,,,,
Mentone,Melbourne,November,,,,
Moorabbin - Heatherton,Melbourne,November,,,,
Ivanhoe,Melbourne,November,,,,
Viewbank - Yallambie,Melbourne,November,,,,
Kingsbury,Melbourne,November,,,,
Preston,Melbourne,November,,,,
Reservoir - West,Melbourne,November,,,,
Bundoora - North,Melbourne,November,,,,
Mill Park - North,Melbourne,November,,,,
Thomastown,Melbourne,November,,,,
Airport West,Melbourne,November,,,,
Keilor,Melbourne,November,,,,
Coburg North,Melbourne,November,,,,
Fawkner,Melbourne,November,,,,
Sunbury - South,Melbourne,November,,,,
Broadmeadows,Melbourne,November,,,,
Campbellfield - Coolaroo,Melbourne,November,,,,
Gladstone Park - Westmeadows,Melbourne,November,,,,
Melbourne Airport,Melbourne,November,,,,
Tullamarine,Melbourne,November,,,,
Ferntree Gully,Melbourne,November,,,,
Rowville - South,Melbourne,November,,,,
Wantirna,Melbourne,November,,,,
Wantirna South,Melbourne,November,,,,
Croydon,Melbourne,November,1144.00,2430.00,140913.00,123.13
Ringwood,Melbourne,November,1530.00,2310.00,258851.00,169.18
Forest Hill,Melbourne,November,,,,
Nunawading,Melbourne,November,,,,
Doveton,Melbourne,November,,,,
Hallam,Melbourne,November,,,,
Narre Warren,Melbourne,November,,,,
Cranbourne,Melbourne,November,1049.00,2820.00,119395.00,113.77
Dandenong,Melbourne,November,7691.00,10350.00,853271.00,110.94
Keysborough,Melbourne,November,,,,
Noble Park,Melbourne,November,,,,
Springvale,Melbourne,November,,,,
Ashwood - Chadstone,Melbourne,November,,,,
Clayton,Melbourne,November,1747.00,2280.00,247185.00,141.49
Glen Waverley - East,Melbourne,November,,,,
Glen Waverley - West,Melbourne,November,12191.00,16260.00,2456539.00,201.50
Mount Waverley - South,Melbourne,November,,,,
Mulgrave,Melbourne,November,,,,
Oakleigh - Huntingdale,Melbourne,November,,,,
Ardeer - Albion,Melbourne,November,,,,
Taylors Lakes,Melbourne,November,,,,
Williamstown,Melbourne,November,3795.00,4290.00,794883.00,209.46
Footscray,Melbourne,November,,,,
Caroline Springs,Melbourne,November,,,,
Melton,Melbourne,November,,,,
Melton South,Melbourne,November,,,,
Hoppers Crossing - North,Melbourne,November,,,,
Laverton,Melbourne,November,,,,
Point Cook,Melbourne,November,,,,
Werribee - South,Melbourne,November,4214.00,5730.00,721163.00,171.13
Nhill Region,Wimmera,November,,,,
Buloke,Wimmera,November,,,,
Mildura,Mallee,November,13998.00,26910.00,1578990.00,112.80
Mildura Region,Mallee,November,,,,
Red Cliffs,Mallee,November,,,,
Gannawarra,Mallee,November,,,,
Kerang,Mallee,November,,,,
Swan Hill,Mallee,November,5531.00,9840.00,597581.00,108.05
Swan Hill Region,Mallee,November,,,,
Lorne - Anglesea,Western,November,5765.00,10410.00,1067552.00,185.19
Torquay,Western,November,4581.00,7380.00,635161.00,138.65
Portland,Western,November,3088.00,5280.00,396281.00,128.33
Camperdown,Western,November,,,,
Colac,Western,November,1880.00,3330.00,178319.00,94.85
Corangamite - South,Western,November,2622.00,3480.00,459022.00,175.05
Moyne - West,Western,November,2523.00,3720.00,337728.00,133.85
Otway,Western,November,,,,
Warrnambool - North,Western,November,1730.00,4980.00,173859.00,100.50
Warrnambool - South,Western,November,9596.00,16380.00,1320426.00,137.60
Horsham,Western Grampians,November,,,,
Hamilton (Vic.),Western Grampians,November,1630.00,3780.00,190053.00,116.60
Southern Grampians,Western Grampians,November,,,,
Maryborough (Vic.),Bendigo Loddon,November,1211.00,1830.00,137354.00,113.42
Bendigo,Bendigo Loddon,November,10390.00,14040.00,1295332.00,124.67
California Gully - Eaglehawk,Bendigo Loddon,November,,,,
East Bendigo - Kennington,Bendigo Loddon,November,2667.00,4620.00,366965.00,137.59
Kangaroo Flat - Golden Square,Bendigo Loddon,November,,,,
White Hills - Ascot,Bendigo Loddon,November,,,,
Castlemaine,Bendigo Loddon,November,965.00,1650.00,110504.00,114.53
Loddon,Bendigo Loddon,November,,,,
Carrum Downs,Peninsula,November,,,,
Frankston,Peninsula,November,4927.00,7590.00,687724.00,139.57
Seaford,Peninsula,November,,,,
Flinders,Peninsula,November,,,,
Hastings - Somers,Peninsula,November,,,,
Mornington,Peninsula,November,,,,
Mount Eliza,Peninsula,November,,,,
Point Nepean,Peninsula,November,4757.00,8310.00,831356.00,174.76
Rosebud - McCrae,Peninsula,November,,,,
Somerville,Peninsula,November,,,,
Echuca,Central Murray,November,8016.00,12990.00,971491.00,121.20
Rochester,Central Murray,November,,,,
Cobram,Central Murray,November,,,,
Yarrawonga,Central Murray,November,,,,
Euroa,Goulburn,November,,,,
Kilmore - Broadford,Goulburn,November,,,,
Nagambie,Goulburn,November,794.00,2280.00,111218.00,140.07
Seymour,Goulburn,November,1277.00,1440.00,164363.00,128.73
Seymour Region,Goulburn,November,,,,
Wallan,Goulburn,November,,,,
Mooroopna,Goulburn,November,,,,
Shepparton - North,Goulburn,November,3189.00,5490.00,398362.00,124.93
Shepparton - South,Goulburn,November,7706.00,12060.00,1004866.00,130.39
Mansfield (Vic.),High Country,November,4652.00,13320.00,532341.00,114.44
Benalla,High Country,November,1829.00,3030.00,203034.00,111.01
Rutherglen,High Country,November,,,,
Wangaratta,High Country,November,4967.00,7740.00,684421.00,137.79
Wangaratta Region,High Country,November,,,,
Beechworth,High Country,November,1035.00,1890.00,135684.00,131.10
Towong,High Country,November,1473.00,1890.00,131176.00,89.08
Bright - Mount Beauty,High Country,November,4450.00,19350.00,500933.00,112.57
Myrtleford,High Country,November,,,,
Yackandandah,High Country,November,,,,
Bairnsdale,Lakes,November,3332.00,6420.00,414571.00,124.42
Bruthen - Omeo,Lakes,November,,,,
Lakes Entrance,Lakes,November,8225.00,13320.00,887685.00,107.92
Orbost,Lakes,November,856.00,1920.00,97189.00,113.54
Paynesville,Lakes,November,,,,
Drouin,Gippsland,November,,,,
Mount Baw Baw Region,Gippsland,November,,,,
Warragul,Gippsland,November,2242.00,3150.00,298764.00,133.26
Foster,Gippsland,November,,,,
Korumburra,Gippsland,November,,,,
Leongatha,Gippsland,November,,,,
Moe - Newborough,Gippsland,November,,,,
Morwell,Gippsland,November,1901.00,4680.00,205809.00,108.24
Traralgon,Gippsland,November,4430.00,8520.00,617820.00,139.46
Maffra,Gippsland,November,,,,
Sale,Gippsland,November,4406.00,9360.00,581851.00,132.06
Yarram,Gippsland,November,,,,
Eltham,Melbourne East,November,,,,
Chirnside Park,Melbourne East,November,,,,
Healesville - Yarra Glen,Melbourne East,November,,,,
Kilsyth,Melbourne East,November,,,,
Lilydale - Coldstream,Melbourne East,November,1259.00,3090.00,289154.00,229.72
Mount Dandenong - Olinda,Melbourne East,November,,,,
Mount Evelyn,Melbourne East,November,,,,
Yarra Valley,Melbourne East,November,498.00,2100.00,55551.00,111.55
Beaconsfield - Officer,Melbourne East,November,,,,
Belmont,Geelong,November,,,,
Corio - Norlane,Geelong,November,,,,
Geelong,Geelong,November,13658.00,19200.00,2117018.00,155.00
Geelong West - Hamlyn Heights,Geelong,November,,,,
Newtown (Vic.),Geelong,November,809.00,2100.00,125920.00,155.65
North Geelong - Bell Park,Geelong,November,,,,
Ocean Grove - Barwon Heads,Geelong,November,,,,
Portarlington,Geelong,November,,,,
Queenscliff,Geelong,November,,,,
Woodend,Macedon,November,,,,
Macedon,Macedon,November,,,,
Romsey,Macedon,November,,,,
Creswick - Clunes,Spa Country ,November,,,,
Daylesford,Spa Country ,November,,,,
Alfredton,Ballarat,November,2657.00,4860.00,286947.00,107.98
Ballarat,Ballarat,November,6230.00,11550.00,918202.00,147.37
Ballarat - North,Ballarat,November,,,,
Ballarat - South,Ballarat,November,4608.00,7920.00,653982.00,141.92
Delacombe,Ballarat,November,,,,
Avoca,Central Highlands,November,,,,
Ararat,Central Highlands,November,1116.00,1800.00,116848.00,104.70
St Arnaud,Central Highlands,November,,,,
Stawell,Central Highlands,November,,,,
Alexandra,Upper Yarra,November,,,,
Yea,Upper Yarra,November,,,,
Wodonga,Murray East,November,3930.00,7440.00,520011.00,132.30
Phillip Island,Phillip Island,November,,,,
Wonthaggi - Inverloch,Phillip Island,November,,,,
Brunswick,Melbourne,December,3274.00,4960.00,462524.00,141.27
Thornbury,Melbourne,December,,,,
Essendon - Aberfeldie,Melbourne,December,3491.00,5301.00,530316.00,151.91
Flemington,Melbourne,December,,,,
Moonee Ponds,Melbourne,December,,,,
Carlton,Melbourne,December,13881.00,21638.00,2166792.00,156.10
Docklands,Melbourne,December,33187.00,36797.00,6583243.00,198.37
East Melbourne,Melbourne,December,35826.00,46438.00,6945992.00,193.88
Melbourne,Melbourne,December,339151.00,401786.00,64648274.00,190.62
North Melbourne,Melbourne,December,4132.00,7285.00,576927.00,139.62
Parkville,Melbourne,December,7060.00,8277.00,944301.00,133.76
South Yarra - West,Melbourne,December,,,,
Southbank,Melbourne,December,90188.00,101556.00,24940932.00,276.54
Albert Park,Melbourne,December,36920.00,46440.00,4887337.00,132.38
South Melbourne,Melbourne,December,3700.00,4898.00,613013.00,165.68
St Kilda,Melbourne,December,20809.00,25544.00,3029871.00,145.61
Prahran - Windsor,Melbourne,December,,,,
South Yarra - East,Melbourne,December,18014.00,26505.00,4176293.00,231.84
Toorak,Melbourne,December,,,,
Abbotsford,Melbourne,December,,,,
Carlton North - Princes Hill,Melbourne,December,,,,
Fitzroy,Melbourne,December,3111.00,4371.00,621330.00,199.72
Richmond (Vic.),Melbourne,December,5693.00,7626.00,894253.00,157.08
Yarra - North,Melbourne,December,,,,
Hawthorn,Melbourne,December,,,,
Hawthorn East,Melbourne,December,,,,
Kew,Melbourne,December,5161.00,7657.00,887273.00,171.92
Doncaster,Melbourne,December,,,,
Doncaster East,Melbourne,December,,,,
Blackburn,Melbourne,December,,,,
Box Hill,Melbourne,December,,,,
Burwood,Melbourne,December,,,,
Burwood East,Melbourne,December,,,,
Surrey Hills (East) - Mont Albert,Melbourne,December,,,,
Beaumaris,Melbourne,December,,,,
Brighton (Vic.),Melbourne,December,3884.00,4867.00,651081.00,167.65
Carnegie,Melbourne,December,,,,
Caulfield - North,Melbourne,December,,,,
Hughesdale,Melbourne,December,1803.00,2635.00,287782.00,159.61
Braeside,Melbourne,December,,,,
Cheltenham - Highett (East),Melbourne,December,,,,
Mentone,Melbourne,December,,,,
Moorabbin - Heatherton,Melbourne,December,,,,
Ivanhoe,Melbourne,December,,,,
Viewbank - Yallambie,Melbourne,December,,,,
Kingsbury,Melbourne,December,,,,
Preston,Melbourne,December,,,,
Reservoir - West,Melbourne,December,,,,
Bundoora - North,Melbourne,December,,,,
Mill Park - North,Melbourne,December,,,,
Thomastown,Melbourne,December,,,,
Airport West,Melbourne,December,,,,
Keilor,Melbourne,December,,,,
Coburg North,Melbourne,December,,,,
Fawkner,Melbourne,December,,,,
Sunbury - South,Melbourne,December,,,,
Broadmeadows,Melbourne,December,,,,
Campbellfield - Coolaroo,Melbourne,December,,,,
Gladstone Park - Westmeadows,Melbourne,December,11176.00,13857.00,1971493.00,176.40
Melbourne Airport,Melbourne,December,,,,
Tullamarine,Melbourne,December,,,,
Ferntree Gully,Melbourne,December,,,,
Rowville - South,Melbourne,December,,,,
Wantirna,Melbourne,December,,,,
Wantirna South,Melbourne,December,,,,
Croydon,Melbourne,December,1034.00,2511.00,129659.00,125.44
Ringwood,Melbourne,December,1377.00,2387.00,244293.00,177.41
Forest Hill,Melbourne,December,,,,
Nunawading,Melbourne,December,,,,
Doveton,Melbourne,December,,,,
Hallam,Melbourne,December,,,,
Narre Warren,Melbourne,December,,,,
Cranbourne,Melbourne,December,959.00,2914.00,136113.00,141.97
Dandenong,Melbourne,December,7164.00,10695.00,852037.00,118.93
Keysborough,Melbourne,December,,,,
Noble Park,Melbourne,December,,,,
Springvale,Melbourne,December,,,,
Ashwood - Chadstone,Melbourne,December,,,,
Clayton,Melbourne,December,1614.00,2356.00,220771.00,136.79
Glen Waverley - East,Melbourne,December,,,,
Glen Waverley - West,Melbourne,December,11531.00,16802.00,2037555.00,176.70
