locality,region,Month,Room_nights_occupied,Room_nights_available,Takings_from_accommodation,Average_takings_per_room_night_occupied
Hamilton (Vic.),Western Grampians,July,1591.00,3906.00,189676.00,119.22
Southern Grampians,Western Grampians,July,,,,
Maryborough (Vic.),Bendigo Loddon,July,849.00,1860.00,101077.00,119.05
Bendigo,Bendigo Loddon,July,10357.00,14508.00,1310599.00,126.54
California Gully - Eaglehawk,Bendigo Loddon,July,,,,
East Bendigo - Kennington,Bendigo Loddon,July,2695.00,4774.00,370086.00,137.32
Kangaroo Flat - Golden Square,Bendigo Loddon,July,,,,
White Hills - Ascot,Bendigo Loddon,July,,,,
Castlemaine,Bendigo Loddon,July,738.00,1705.00,79876.00,108.30
Loddon,Bendigo Loddon,July,,,,
Carrum Downs,Peninsula,July,,,,
Frankston,Peninsula,July,4066.00,7843.00,587858.00,144.59
Seaford,Peninsula,July,,,,
Flinders,Peninsula,July,,,,
Hastings - Somers,Peninsula,July,,,,
Mornington,Peninsula,July,,,,
Mount Eliza,Peninsula,July,,,,
Point Nepean,Peninsula,July,3473.00,8587.00,539520.00,155.35
Rosebud - McCrae,Peninsula,July,,,,
Somerville,Peninsula,July,,,,
Echuca,Central Murray,July,6363.00,13423.00,736308.00,115.72
Rochester,Central Murray,July,,,,
Cobram,Central Murray,July,,,,
Yarrawonga,Central Murray,July,,,,
Euroa,Goulburn,July,,,,
Kilmore - Broadford,Goulburn,July,,,,
Nagambie,Goulburn,July,443.00,2356.00,57140.00,128.98
Seymour,Goulburn,July,911.00,1488.00,116500.00,127.95
Seymour Region,Goulburn,July,,,,
Wallan,Goulburn,July,,,,
Mooroopna,Goulburn,July,,,,
Shepparton - North,Goulburn,July,2806.00,5487.00,339748.00,121.07
Shepparton - South,Goulburn,July,6748.00,12462.00,820176.00,121.55
Mansfield (Vic.),High Country,July,11761.00,16461.00,4158615.00,353.59
Benalla,High Country,July,1620.00,3100.00,183271.00,113.13
Rutherglen,High Country,July,513.00,1457.00,65530.00,127.74
Wangaratta,High Country,July,4098.00,7998.00,512650.00,125.11
Wangaratta Region,High Country,July,,,,
Beechworth,High Country,July,683.00,1953.00,81359.00,119.12
Towong,High Country,July,,,,
Bright - Mount Beauty,High Country,July,16107.00,31155.00,4826478.00,299.65
Myrtleford,High Country,July,,,,
Yackandandah,High Country,July,,,,
Bairnsdale,Lakes,July,2644.00,6634.00,322963.00,122.15
Bruthen - Omeo,Lakes,July,,,,
Lakes Entrance,Lakes,July,4731.00,13764.00,486544.00,102.84
Orbost,Lakes,July,517.00,1984.00,62431.00,120.76
Paynesville,Lakes,July,,,,
Drouin,Gippsland,July,,,,
Mount Baw Baw Region,Gippsland,July,,,,
Warragul,Gippsland,July,1112.00,3255.00,135245.00,121.62
Foster,Gippsland,July,,,,
Korumburra,Gippsland,July,,,,
Leongatha,Gippsland,July,,,,
Moe - Newborough,Gippsland,July,,,,
Morwell,Gippsland,July,1821.00,4805.00,190457.00,104.59
Traralgon,Gippsland,July,4230.00,8804.00,529179.00,125.10
Maffra,Gippsland,July,,,,
Sale,Gippsland,July,4773.00,9672.00,629595.00,131.90
Yarram,Gippsland,July,,,,
Eltham,Melbourne East,July,,,,
Chirnside Park,Melbourne East,July,,,,
Healesville - Yarra Glen,Melbourne East,July,,,,
Kilsyth,Melbourne East,July,,,,
Lilydale - Coldstream,Melbourne East,July,934.00,3193.00,172919.00,185.12
Mount Dandenong - Olinda,Melbourne East,July,,,,
Mount Evelyn,Melbourne East,July,,,,
Yarra Valley,Melbourne East,July,,,,
Beaconsfield - Officer,Melbourne East,July,,,,
Belmont,Geelong,July,,,,
Corio - Norlane,Geelong,July,,,,
Geelong,Geelong,July,12134.00,19840.00,1684553.00,138.83
Geelong West - Hamlyn Heights,Geelong,July,,,,
Newtown (Vic.),Geelong,July,640.00,2170.00,94841.00,148.19
North Geelong - Bell Park,Geelong,July,,,,
Ocean Grove - Barwon Heads,Geelong,July,,,,
Portarlington,Geelong,July,,,,
Queenscliff,Geelong,July,,,,
Woodend,Macedon,July,,,,
Macedon,Macedon,July,,,,
Romsey,Macedon,July,,,,
Creswick - Clunes,Spa Country ,July,,,,
Daylesford,Spa Country ,July,,,,
Alfredton,Ballarat,July,1972.00,5022.00,202150.00,102.51
Ballarat,Ballarat,July,6423.00,11935.00,931509.00,145.03
Ballarat - North,Ballarat,July,,,,
Ballarat - South,Ballarat,July,4542.00,8184.00,772380.00,170.04
Delacombe,Ballarat,July,,,,
Avoca,Central Highlands,July,,,,
Ararat,Central Highlands,July,1056.00,1860.00,105845.00,100.23
St Arnaud,Central Highlands,July,,,,
Stawell,Central Highlands,July,,,,
Alexandra,Upper Yarra,July,,,,
Yea,Upper Yarra,July,,,,
Wodonga,Murray East,July,3678.00,7688.00,488100.00,132.70
Phillip Island,Phillip Island,July,,,,
Wonthaggi - Inverloch,Phillip Island,July,,,,
Brunswick,Melbourne,August,2805.00,4960.00,378247.00,134.84
Thornbury,Melbourne,August,,,,
Essendon - Aberfeldie,Melbourne,August,3806.00,5301.00,541417.00,142.25
Flemington,Melbourne,August,,,,
Moonee Ponds,Melbourne,August,,,,
Carlton,Melbourne,August,11704.00,21638.00,1859439.00,158.87
Docklands,Melbourne,August,33632.00,36673.00,6361164.00,189.14
East Melbourne,Melbourne,August,34622.00,46438.00,6267865.00,181.04
Melbourne,Melbourne,August,340596.00,398005.00,60134577.00,176.56
North Melbourne,Melbourne,August,3447.00,7285.00,488539.00,141.72
Parkville,Melbourne,August,6087.00,8277.00,744455.00,122.29
South Yarra - West,Melbourne,August,,,,
Southbank,Melbourne,August,90896.00,101277.00,24119614.00,265.35
Albert Park,Melbourne,August,38809.00,47882.00,5142390.00,132.51
South Melbourne,Melbourne,August,,,,
St Kilda,Melbourne,August,19812.00,25606.00,2313747.00,116.79
Prahran - Windsor,Melbourne,August,,,,
South Yarra - East,Melbourne,August,19057.00,23451.00,3538009.00,185.65
Toorak,Melbourne,August,,,,
Abbotsford,Melbourne,August,,,,
Carlton North - Princes Hill,Melbourne,August,,,,
Fitzroy,Melbourne,August,2751.00,4371.00,534386.00,194.25
Richmond (Vic.),Melbourne,August,5226.00,7626.00,800741.00,153.22
Yarra - North,Melbourne,August,,,,
Hawthorn,Melbourne,August,,,,
Hawthorn East,Melbourne,August,,,,
Kew,Melbourne,August,5325.00,7657.00,807150.00,151.58
Doncaster,Melbourne,August,,,,
Doncaster East,Melbourne,August,,,,
Blackburn,Melbourne,August,,,,
Box Hill,Melbourne,August,,,,
Burwood,Melbourne,August,,,,
Burwood East,Melbourne,August,,,,
Surrey Hills (East) - Mont Albert,Melbourne,August,,,,
Beaumaris,Melbourne,August,,,,
Brighton (Vic.),Melbourne,August,3010.00,4867.00,462219.00,153.58
Carnegie,Melbourne,August,,,,
Caulfield - North,Melbourne,August,,,,
Hughesdale,Melbourne,August,1636.00,2635.00,254427.00,155.52
Braeside,Melbourne,August,,,,
Cheltenham - Highett (East),Melbourne,August,,,,
Mentone,Melbourne,August,,,,
Moorabbin - Heatherton,Melbourne,August,,,,
Ivanhoe,Melbourne,August,,,,
Viewbank - Yallambie,Melbourne,August,,,,
Kingsbury,Melbourne,August,,,,
Preston,Melbourne,August,,,,
Reservoir - West,Melbourne,August,,,,
Bundoora - North,Melbourne,August,,,,
Mill Park - North,Melbourne,August,,,,
Thomastown,Melbourne,August,,,,
Airport West,Melbourne,August,,,,
Keilor,Melbourne,August,,,,
Coburg North,Melbourne,August,,,,
Fawkner,Melbourne,August,,,,
Sunbury - South,Melbourne,August,,,,
Broadmeadows,Melbourne,August,,,,
Campbellfield - Coolaroo,Melbourne,August,,,,
Gladstone Park - Westmeadows,Melbourne,August,,,,
Melbourne Airport,Melbourne,August,,,,
Tullamarine,Melbourne,August,,,,
Ferntree Gully,Melbourne,August,,,,
Rowville - South,Melbourne,August,,,,
Wantirna,Melbourne,August,,,,
Wantirna South,Melbourne,August,,,,
Croydon,Melbourne,August,1161.00,2511.00,139634.00,120.31
Ringwood,Melbourne,August,1545.00,2387.00,268742.00,173.94
Forest Hill,Melbourne,August,,,,
Nunawading,Melbourne,August,,,,
Doveton,Melbourne,August,,,,
Hallam,Melbourne,August,,,,
Narre Warren,Melbourne,August,,,,
Cranbourne,Melbourne,August,876.00,2914.00,101792.00,116.20
Dandenong,Melbourne,August,7090.00,10695.00,873746.00,123.24
Keysborough,Melbourne,August,,,,
Noble Park,Melbourne,August,,,,
Springvale,Melbourne,August,,,,
Ashwood - Chadstone,Melbourne,August,,,,
Clayton,Melbourne,August,1749.00,2356.00,234606.00,134.14
Glen Waverley - East,Melbourne,August,,,,
Glen Waverley - West,Melbourne,August,12554.00,16802.00,2476758.00,197.29
Mount Waverley - South,Melbourne,August,,,,
Mulgrave,Melbourne,August,,,,
Oakleigh - Huntingdale,Melbourne,August,,,,
Ardeer - Albion,Melbourne,August,,,,
Taylors Lakes,Melbourne,August,,,,
Williamstown,Melbourne,August,3687.00,4433.00,674576.00,182.96
Footscray,Melbourne,August,,,,
Caroline Springs,Melbourne,August,,,,
Melton,Melbourne,August,,,,
Melton South,Melbourne,August,,,,
Hoppers Crossing - North,Melbourne,August,,,,
Laverton,Melbourne,August,,,,
Point Cook,Melbourne,August,,,,
Werribee - South,Melbourne,August,3768.00,5921.00,624295.00,165.67
Nhill Region,Wimmera,August,,,,
Buloke,Wimmera,August,,,,
Mildura,Mallee,August,13565.00,27807.00,1470330.00,108.39
Mildura Region,Mallee,August,,,,
Red Cliffs,Mallee,August,,,,
Gannawarra,Mallee,August,,,,
Kerang,Mallee,August,,,,
Swan Hill,Mallee,August,5467.00,10168.00,590292.00,107.98
Swan Hill Region,Mallee,August,,,,
Lorne - Anglesea,Western,August,3621.00,10447.00,558318.00,154.18
Torquay,Western,August,3478.00,7626.00,387587.00,111.44
Portland,Western,August,1896.00,5456.00,255488.00,134.75
Camperdown,Western,August,,,,
Colac,Western,August,1347.00,3441.00,141213.00,104.84
Corangamite - South,Western,August,1423.00,3596.00,257808.00,181.14
Moyne - West,Western,August,1834.00,3844.00,217277.00,118.48
Otway,Western,August,,,,
Warrnambool - North,Western,August,1606.00,5146.00,151868.00,94.56
Warrnambool - South,Western,August,8246.00,16926.00,1038373.00,125.92
